,date,fremont_bridge_nb,fremont_bridge_sb,hour,count
238,2015-07-27,351,169,8,520
239,2015-07-29,31,16,5,47
240,2015-07-03,25,24,21,49
241,2015-07-26,12,13,6,25
242,2015-07-10,5,8,1,13
243,2015-07-12,46,41,9,87
244,2015-07-21,118,53,6,171
245,2015-07-20,159,118,9,277
246,2015-07-09,78,40,10,118
247,2015-07-02,49,63,20,112
248,2015-07-15,354,154,7,508
249,2015-07-14,3,1,3,4
250,2015-07-18,9,12,0,21
251,2015-07-29,5,6,0,11
252,2015-07-24,126,378,17,504
253,2015-07-18,5,5,2,10
254,2015-07-02,27,26,5,53
255,2015-07-01,23,23,23,46
256,2015-07-04,64,88,16,152
257,2015-07-14,160,228,16,388
258,2015-07-18,21,34,7,55
259,2015-07-24,56,62,20,118
260,2015-07-06,98,120,19,218
261,2015-07-25,68,47,13,115
262,2015-07-28,2,1,2,3
264,2015-07-07,106,157,19,263
266,2015-07-13,42,54,21,96
267,2015-07-14,23,63,11,86
268,2015-07-21,45,53,10,98
269,2015-07-01,83,50,10,133
270,2015-07-28,39,50,21,89
271,2015-07-20,24,18,5,42
272,2015-07-30,0,3,3,3
273,2015-07-09,140,51,6,191
274,2015-07-19,1,4,2,5
275,2015-07-27,296,129,7,425
276,2015-07-04,84,70,13,154
277,2015-07-24,76,246,22,322
278,2015-07-07,48,46,21,94
279,2015-07-11,68,63,14,131
280,2015-07-06,9,10,23,19
281,2015-07-13,62,92,20,154
282,2015-07-03,23,21,6,44
283,2015-07-15,104,165,19,269
284,2015-07-11,7,6,1,13
285,2015-07-03,74,64,8,138
286,2015-07-22,7,6,0,13
287,2015-07-09,58,41,12,99
289,2015-07-25,11,4,1,15
290,2015-07-14,121,186,19,307
291,2015-07-17,27,13,5,40
292,2015-07-05,95,68,11,163
293,2015-07-13,50,42,10,92
294,2015-07-08,55,60,21,115
295,2015-07-07,197,301,18,498
296,2015-07-05,67,52,18,119
297,2015-07-07,4,5,4,9
298,2015-07-03,59,74,14,133
299,2015-07-24,76,49,6,125
300,2015-07-15,31,50,21,81
301,2015-07-20,302,121,7,423
302,2015-07-30,184,458,17,642
303,2015-07-19,44,50,18,94
304,2015-07-19,26,23,21,49
305,2015-07-02,159,365,17,524
306,2015-07-09,376,217,8,593
307,2015-07-03,113,85,13,198
308,2015-07-27,11,22,22,33
309,2015-07-08,132,174,19,306
310,2015-07-26,12,19,20,31
311,2015-07-16,310,119,7,429
312,2015-07-27,35,46,21,81
313,2015-07-30,165,311,18,476
314,2015-07-18,52,50,8,102
315,2015-07-18,67,68,11,135
316,2015-07-08,201,326,18,527
317,2015-07-01,5,4,1,9
318,2015-07-17,106,49,6,155
319,2015-07-20,74,51,10,125
320,2015-07-04,3,2,3,5
321,2015-07-02,135,221,16,356
322,2015-07-13,47,51,11,98
323,2015-07-02,34,39,22,73
324,2015-07-17,13,13,0,26
325,2015-07-17,5,4,4,9
326,2015-07-21,123,212,16,335
