,date,fremont_bridge_nb,fremont_bridge_sb,hour,count
910,2015-08-25,12,19,23,31
911,2015-08-31,7,11,23,18
912,2015-08-11,95,50,6,145
913,2015-08-14,84,199,17,283
915,2015-08-21,19,32,23,51
916,2015-08-13,77,66,10,143
918,2015-08-13,180,495,17,675
919,2015-08-13,392,221,8,613
920,2015-08-06,163,109,9,272
921,2015-08-14,26,39,12,65
922,2015-08-16,82,94,17,176
923,2015-08-16,7,1,4,8
924,2015-08-06,57,39,21,96
925,2015-08-25,108,47,6,155
926,2015-08-18,59,46,11,105
927,2015-08-24,29,15,5,44
928,2015-08-04,86,93,20,179
929,2015-08-25,112,62,10,174
930,2015-08-18,66,100,15,166
931,2015-08-16,3,3,5,6
932,2015-08-11,30,24,5,54
933,2015-08-17,23,18,22,41
934,2015-08-19,53,88,20,141
935,2015-08-11,422,206,8,628
936,2015-08-17,320,132,7,452
937,2015-08-21,50,56,11,106
939,2015-08-27,123,230,16,353
940,2015-08-17,59,86,15,145
941,2015-08-11,171,111,9,282
942,2015-08-09,54,34,8,88
943,2015-08-14,159,81,7,240
944,2015-08-07,142,263,16,405
945,2015-08-04,79,89,15,168
946,2015-08-02,16,22,21,38
947,2015-08-29,4,4,6,8
948,2015-08-12,63,48,11,111
949,2015-08-14,3,6,1,9
950,2015-08-23,63,69,18,132
951,2015-08-12,5,5,1,10
952,2015-08-17,25,12,23,37
953,2015-08-27,174,104,9,278
954,2015-08-04,4,7,4,11
955,2015-08-21,235,106,7,341
956,2015-08-05,175,501,17,676
957,2015-08-24,354,180,8,534
958,2015-08-29,31,21,10,52
959,2015-08-29,6,15,0,21
960,2015-08-18,52,49,21,101
961,2015-08-19,82,123,15,205
962,2015-08-27,222,449,17,671
964,2015-08-03,174,518,17,692
965,2015-08-18,218,486,17,704
966,2015-08-21,61,59,13,120
967,2015-08-18,30,34,22,64
968,2015-08-18,406,208,8,614
969,2015-08-08,84,54,11,138
970,2015-08-10,52,53,13,105
971,2015-08-16,62,52,19,114
972,2015-08-24,15,19,23,34
973,2015-08-18,53,45,13,98
974,2015-08-22,79,69,12,148
976,2015-08-18,323,134,7,457
977,2015-08-22,148,42,10,190
978,2015-08-20,101,54,6,155
979,2015-08-10,304,148,8,452
980,2015-08-21,55,36,10,91
981,2015-08-01,94,69,10,163
983,2015-08-30,80,43,12,123
985,2015-08-15,90,63,15,153
986,2015-08-01,28,25,20,53
988,2015-08-07,99,120,15,219
989,2015-08-09,56,60,9,116
991,2015-08-09,11,1,5,12
992,2015-08-16,153,100,13,253
993,2015-08-03,289,119,7,408
994,2015-08-08,8,4,5,12
995,2015-08-14,43,90,16,133
996,2015-08-05,117,62,6,179
997,2015-08-05,44,60,14,104
998,2015-08-15,9,25,6,34
999,2015-08-16,110,92,12,202
